model,account,type,answer
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,34
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,14
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,60
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,0
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-26
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,31
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-22
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,#
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,21
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,10
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,30
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,0
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,0
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,4026531840
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,0
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,59
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-26
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-1
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,#
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-27
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,+
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,60
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-26
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-34
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,3
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,6
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,30
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,5
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,30
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,60
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-5368709065
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-11
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,1
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,26
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,#
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,#
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,3
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-14
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-1
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,0
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,#
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,#
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-9
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,536870911
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,29
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,2
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-1
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-1
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-27
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,1
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,1
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,0
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,30
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,1
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,0
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,29
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,4
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,30
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,30
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,580
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,#
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,1
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-2449
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-2147483599
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-25
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,20
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,2
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,13
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,2
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,#
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,8
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-31
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,0
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,26
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,1
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,0
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,+
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-7
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,29
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,#
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,15
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-24
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,2
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-29
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,+
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,@
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,+
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,-27
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,29
llama3.2_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,PoT,28
