model,account,type,answer
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.67
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.67
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.67
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,282746.73
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,282777.31
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,282746.77
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,282777.31
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,282734.47
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,282734.47
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,282777.31
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246803.66
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,one_shot,246800.0
