Model,Type,Account,X,Y,Correct,Repetition per Account(Model),Repetition per Type(Model),Repetition per Question(Model),Account(Model) Cumulative,Type(Model) Cumulative,Question(Model) Cumulative,Account(Model) Percentual,Type(Model) Percentual,Question(Model) Percentual,Type and Account Percentual
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,#,0,2,1,2,1,0,1,=1/2,=0/1,=1/2,=0/1
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,3,1,3,2,1,2,=2/3,=1/1,=2/3,=1/1
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.81971,1,5,2,5,3,2,3,=3/5,=2/2,=3/5,=2/2
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,6,3,6,4,3,4,=4/6,=3/3,=4/6,=3/3
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,7,4,7,5,4,5,=5/7,=4/4,=5/7,=4/4
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.81976,1,8,5,8,6,5,6,=6/8,=5/5,=6/8,=5/5
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,9,6,9,7,6,7,=7/9,=6/6,=7/9,=6/6
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,10,7,10,8,7,8,=8/10,=7/7,=8/10,=7/7
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,11,8,11,9,8,9,=9/11,=8/8,=9/11,=8/8
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.029,1.82,1,12,9,12,10,9,10,=10/12,=9/9,=10/12,=9/9
