model,account,type,x,y
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/2,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.631,0.384
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,2/3,0.551
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/2,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/2,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,2.932
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,10.0,20.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/3,0.877
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.8777,0.7735
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.707,0.673
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/2,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/2,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/2,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.739,0.54
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.866
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/2,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/2,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,,0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.785,0.785*sin0.785
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/2,/2
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,0.0,0.0
gemma3_1b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,/2,1.5
