model,account,type,answer
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,93
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,46
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,45
