Model,Type,Account,Distance,Correct,Repetition per Account(Model),Repetition per Type(Model),Repetition per Question(Model),Account(Model) Cumulative,Type(Model) Cumulative,Question(Model) Cumulative,Account(Model) Percentual,Type(Model) Percentual,Question(Model) Percentual,Type and Account Percentual
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,38.262252939417984,0,2,1,2,0,0,0,=0/2,=0/1,=0/2,=0/1
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,27.586228448267445,0,3,1,3,0,0,0,=0/3,=0/1,=0/3,=0/1
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,30.72458299147443,0,5,2,5,0,0,0,=0/5,=0/2,=0/5,=0/2
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,29.34280150224242,0,6,3,6,0,0,0,=0/6,=0/3,=0/6,=0/3
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,33.88214869219483,0,7,4,7,0,0,0,=0/7,=0/4,=0/7,=0/4
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,30.083217912982647,0,8,5,8,0,0,0,=0/8,=0/5,=0/8,=0/5
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,28.930952282978865,0,9,6,9,0,0,0,=0/9,=0/6,=0/9,=0/6
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,33.21144381083123,0,10,7,10,0,0,0,=0/10,=0/7,=0/10,=0/7
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,29.93325909419153,0,11,8,11,0,0,0,=0/11,=0/8,=0/11,=0/8
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,34.132096331752024,0,12,9,12,0,0,0,=0/12,=0/9,=0/12,=0/9
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,35.156791662493895,0,13,10,13,0,0,0,=0/13,=0/10,=0/13,=0/10
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,32.18695387886216,0,14,11,14,0,0,0,=0/14,=0/11,=0/14,=0/11
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,35.77708763999664,0,15,12,15,0,0,0,=0/15,=0/12,=0/15,=0/12
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,39.293765408777,0,4,2,4,0,0,0,=0/4,=0/2,=0/4,=0/2
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,38.262252939417984,0,17,3,17,0,0,0,=0/17,=0/3,=0/17,=0/3
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,38.34057902536163,0,18,4,18,0,0,0,=0/18,=0/4,=0/18,=0/4
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,29.899832775452108,0,1,1,1,0,0,0,=0/1,=0/1,=0/1,=0/1
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,30.033314835362415,0,20,2,20,0,0,0,=0/20,=0/2,=0/20,=0/2
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,38.0,0,19,5,19,0,0,0,=0/19,=0/5,=0/19,=0/5
