model,account,type,distance
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,41.41255848169731
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,41.41255848169731
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,41.41255848169731
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,41.41255848169731
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,42.0
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,42.08325082500163
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,41.41255848169731
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,42.08325082500163
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,41.41255848169731
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,41.41255848169731
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,40.29888335921977
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,40.422765862815474
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,+
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,42.08325082500163
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,20.09975124224178
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,40.17461885320133
gemini-2.0-flash-lite-001,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,PoT,40.422765862815474
