(0.6366, 0.3924)
?(1.152, 1.054)
?(0.0003, 9.07e-7)
?(0, 0)
?(1, 0.84147)
?(2.0287, 1.8382)
?(2.02876, 1.8380)
?(2.0287, 1.843)
?(1.77, 1.038)
?(0.3833, 0.1440)
?(10, 20)
(30, 40)
(50, 60)
?(2.0295, 1.8418)
?(0.0720, 0.0051)?(10, 20)
?(10, 20)
(30, 40)
(50, 60)
(70, 80)
?(2.02876, 1.8317)
?(2.02838, 1.8431)
?(10, 20)
?(2.0287, 1.8432)
?(/2, /2)
?(2.0287, 1.838)
?(0, 0)
?(2.0287, 1.8313)
?(0, 0)
(, 0)
?(2.0287, 1.8317)
?(/2, /2)
?(1.1953, 1.0913)
?(10, 20)
?(0, 0)
?(0, 0)
?(2.0899, 1.9339)
?(0, 0)
?(2.02876, 1.8380)
?(10, 20)
(30, 40)
(50, 60)
(70, 80)
?(2.0283, 1.8315)
?(1.178, 1.076)
?(2.0287, 1.843)
?(/2, /2)
?(2.0287, 1.843)
?(2.02838, 1.8435)
?(10, 20)
?(10, 20)
?(2, 1.8186)
?(2.02876, 1.8380)
?(2.0287, 1.8383)
?(2.02876, 1.8318)
?(0, 0)
?(1.5708, 1.5708)
?(0, 0)
?(1.195, 1.093)
?(2.02876, 1.8318)
?(1.113, 0.999)
?(/2, /2)
?(2.0287, 1.843)
?(2.0287, 1.843)
?(0.947, 0.768)
?(10, 20)
?(2.02876, 1.838)
?(2.0287, 1.843)
?(2.0287, 1.9635)
?(0, 0)
?(2.02876, 1.8431)
?(2.0287, 1.8435)
?(0, 0)
(, 0)
?(2.0287, 1.83)
?(/4, (2)/4)
?(2.0283, 1.8315)
?(2.02876, 1.8316)
?(2.0283, 1.8432)
?(/2, /2)
?(2.0287, 1.8426)?(1.934, 1.801)
?(0.94487, 0.8357)
?(1.904, 1.822)
?(2.0287, 1.8437)
?(2.02876, 1.8425)
?(2.02876, 1.9374)?(2.02876, 1.8317)
?(2.02876, 1.8416)
?(2.02876, 1.8381)
?(0, 0)
?(1.5, 1.4994)
?(1.1141, 0.9999)
?(2.0287, 1.8436)
?(/2, /2)
?(1.94, 1.82)
?(2.0283, 1.8431)
?(1.19, 1.092)
?(0, 0)
(, 0)
?(2.0287, 1.838)
?(1, 0.8415)
?(2.02876, 1.8431)
?(/2, /2)
?(2.0287, 1.838)
?(1.97, 1.791)
?(2.0283, 1.8313)?(2.02876, 1.8406)
?(/2, /2)
?(2.0282, 1.8381)
?(2.02876, 1.843)
?
